CLAVE,NOMBRE,SEMESTRE
7,Álgebra Superior I,1
1123,Estructuras Discretas,1
1125,Introducción a las Ciencias de la Computación,1
1126,Matemáticas para las Ciencias Aplicadas I,1
8,Álgebra Superior II,2
1222,Estructuras de Datos,2
422,Gráficas y Juegos,2
1226,Matemáticas para las Ciencias Aplicadas II,2
5,Álgebra Lineal I,3
1326,Matemáticas para las Ciencias Aplicadas III,3
1323,Modelado y Programación,3
625,Probabilidad I,3
1425,Autómatas y Lenguajes Formales,4
1427,Lógica Computacional,4
1429,Matemáticas para las Ciencias Aplicadas IV,4
1428,Organización y Arquitectura de Computadoras,4
654,Administración de Empresas de Software,O
655,Administración de Sistemas Unix/Linux,O
6,Álgebra Lineal II,O
1,Álgebra Moderna I,O
2,Álgebra Moderna II,O
656,Algoritmos de Apareamiento de Cadenas,O
657,Algoritmos Paralelos,O
658,Almacenes y Minería de Datos,O
801,Análisis de Algoritmos II,O
10,Análisis Matemático II,O
1707,Análisis Numérico,O
659,Animación por Computadora,O
660,Arquitectura y Diseño de Software,O
661,Bases de Datos Semi-estructurados,O
1049,Ciencia
Diversidad e Inclusión,O
662,Computación Cuántica I,O
663,Computación Cuántica II,O
664,Cómputo Evolutivo,O
665,Diseño de Interfaces de Usuario,O
666,Diseño y Programación de Videojuegos,O
398,Estadística I,O
399,Estadística II,O
2041,Filosofía de la Física II,O
667,Genómica Computacional,O
259,Geometría Computacional,O
249,Geometría Moderna I,O
803,Graficación por Computadoras,O
668,Ingeniería de Software II,O
669,Introducción a la Criptografía,O
351,Introducción a las Funciones Recursivas y Computabilidad,O
1048,Introducción a los Sistemas Complejos,O
1506,Investigación de Operaciones,O
1047,La Sustentabilidad del Desarrollo,O
670,Lenguajes de Programación II,O
819,Lingüística Computacional,O
671,Lógica Computacional II,O
446,Lógica Matemática II,O
447,Lógica Matemática III,O
672,Métodos Formales,O
673,Métricas de Software,O
291,México: Nación Multicultural,O
932,Movilidad I,O
933,Movilidad II,O
934,Movilidad III,O
936,Movilidad IV,O
674,Patrones de Diseño de Software,O
626,Probabilidad II,O
805,Proceso Digital de Imágenes,O
1613,Procesos Estocásticos,O
676,Programación Declarativa,O
783,Seminario de Ciencias de la ComputaciÃ³n A,O
784,Seminario de Ciencias de la ComputaciÃ³n B,O
785,Sistemas de InformaciÃ³n GeogrÃ¡fica,O
786,Sistemas DinÃ¡micos Computacionales I,O
787,Sistemas DinÃ¡micos Computacionales II,O
826,Sistemas Manejadores de Bases de Datos,O
788,Taller de Ejercicio Profesional A,O
789,Taller de Ejercicio Profesional B,O
790,TecnologÃ­as para Desarrollos en Internet,O
1089,TecnologÃ­as para Desarrollos en Internet,O
791,TeorÃ­a de CÃ³digos,8
759,TeorÃ­a de GrÃ¡ficas,O
792,TeorÃ­a de la Concurrencia,O
793,TeorÃ­a de la InformaciÃ³n,O
277,TeorÃ­a de las GrÃ¡ficas II,O
760,TeorÃ­a de los Conjuntos I,O
779,TeorÃ­a de los Conjuntos II,O
764,TeorÃ­a de los NÃºmeros I,O
777,TeorÃ­a de los nÃºmeros II,O
442,TeorÃ­a de Redes,O
765,TopologÃ­a I,O
840,Variable Compleja,5
794,VisiÃ³n Por Computadora,8
809,"VisualizaciÃ³n	",O
1827,ComputaciÃ³n Concurrente,8
1828,CriptografÃ­a y Seguridad,8
1829,InglÃ©s VI,6
817,Compiladores,7
269,Complejidad Computacional,7
714,Redes de Computadoras,7
